"Title","Body"
"Employee personnel files","
As an HR professional you are no stranger to paperwork. It seems that for every employment action - applying, interviewing, hiring, disciplining, on and on - there is a specific form that needs to be filled out. Making sure you complete the paperwork properly is only half the battle though. Once you finish completing a form, you are faced with a whole new issue: what to do with it.  Being the smarty that you are, you know that proper documentation is key in protecting your company in the unfortunate case of a lawsuit, but knowing what needs to be kept where and for how long and who can see it can be kind of tricky. Let's take a minute to go over the basics.
What goes into an employee personnel file?
While most states define ""personnel files"" loosely and the contents of a file can differ based on industry, personnel files typically consist of documents which are related to ""an employee's qualifications for employment, promotion, transfer, additional compensation, discharge, or other disciplinary action."" A few items that should be kept in the file are:

employment applications
performance evaluation forms
discipline records
signed handbook acknowledgments
tax forms, such as W-4s
pay information, such as raises or cuts. (Note: not payroll records, those should be maintained separately.)
Your state may have additional regulations on what needs to be included in a personnel files, so make sure to consult your Human Resources Manual on hrsimple.com.
What should be kept separately?
Medical information
Generally, all medical records should be kept confidential and stored apart from personnel files. Medical information can be obtained for various employment related reasons and should be maintained accurately and securely in case of an investigation. Some examples of medical information include:
requests for FMLA leave
workers' compensation claims
drug testing results
notes from physicians concerning absences due to illness
insurance benefits forms
Immigration forms
While employers are required to retain employee I-9 forms for a period of three years from the date of hire, or one year after employment is terminated, they should be kept separate from a personnel file. Keeping I-9 Forms out of personnel files insures a certain amount of protection in the case of a government investigation, in that some employment information could suggest discrimination on the employer's part and would be better if not disclosed.
Payroll records
Keeping an accurate record of who was paid how much and when is extremely important for tax reasons and in case of an audit or investigation, but these records should be kept outside of personnel information. As with immigration forms, a discrimination claim may arise if personnel information is released during an investigation into a company's pay history, so it is wise to keep this information separate.
Who should be given access?
A common issue with personnel files is whether to give your employees access to their own file or not. Some employees may be upset if they see the sensitive information contained in their files - such as discipline notes and pay information. On the other hand, not granting them access could hurt employee relations. Additionally, several states have laws on whether to grant employees access or not.
Where should you start? Check your state laws on personnel files here. Then use your Model Policies and Forms guide to develop a policy outlining what access your employees have. And, as always, make sure to enforce the policy uniformly, and keep employee personnel files well maintained, safe, and confidential.
Looking for more sample polices and important forms? Click here to gain access."

"Interview Questions: Do's and Don'ts ","
Interviews are a key part of the hiring process, but asking the wrong questions can land you in hot water with the Equal Employment Opportunity Commission (EEOC). Interviews give employers the opportunity to get a feel for an applicant, and they give the applicant a chance to showcase traits that aren't easily expressed on a r?sum?. While many employers know the areas they need to cover in the interview (experience, salary, company culture for example), they might not know there are several topics that should be avoided. Seemingly innocent questions, or even natural conversation, may lead an applicant to reveal information about themselves that could open employers up for discrimination claims. Here are a few examples of questions employers should avoid during interviews:


Who should we notify in case of an emergency? Once an applicant is hired, it is common practice to ask for emergency contact information, but in the hiring stage it could disclose a number of inappropriate responses, such as marital status, or even sexual orientation. Best to leave this till after a hiring decision has been made.


How old are you? While applicants will disclose their age and birthday if hired, asking this question during an interview might elicit a age discrimination claim.

Related off-limit questions: What year did you graduate? When is your birthday?



Have you ever been arrested? This seems innocent enough - you want to make sure they aren't hiring someone with a criminal background, but legally employers can only ask if the applicant has been convicted of a crime.


What clubs and organizations do you belong to? Again, this question seems easy, and relevant to an applicant's qualifications but might lead to topics like religion or national origin, for example an applicant might respond ""I serve as a youth minister at my church."" Instead, employers can ask ""Have you ever held a leadership position that might be relevant to the position?""


Do you prefer to be called Miss or Mrs.? While asking this question may seem like the polite thing to do, it would reveal an applicant's marital status, which is irrelevant to their being qualified for a job, and is off limits during the hiring process.

Related off-limit questions: What does your spouse do for a living? How long have you been married? What is your maiden name?

Where were you born? Questions about birthplace often times naturally work their way into conversation, but could lead to national origin or even religious discrimination claims. Employers should only ask if the applicant has the legal right to work in the United States.


Related off-limit questions: What is your lineage? Are you of __________ descent?  Where were your parents born?

Avoiding these questions ---- and any that directly refer to age, sex, race, national origin, or disability - is a good way to steer clear of discrimination charges. Some employers find it helpful even to jot down topics to avoid when making a list of interview questions. Now that you know what questions not to ask, you can get to work on finding the perfect applicant, and not have to worry about the EEOC knocking on your door. 
Looking for more information on hiring practices? Click here to gain access."

"Technology in the Workplace: Employer Protections in the Age of the iPhone","
It seems like not that long ago ""technology in the workplace"" referred to fax machines and floppy discs, but things certainly have changed in the last 10 years. Smart phones, email, and wireless networks have revolutionized the way business is being done, but with these advances in technology come a whole new set of problems.

Cellphones in the workplace
Whether it is communicating with employees via company issued smartphones or dealing with a secretary who just won't stop texting, cellphones are impacting businesses left and right. Here are a few areas that employers should be looking out for as employees become more and more connected to these devices:
Texting and driving
If your employee is texting using a company device (or just texting for work related purposes) while driving and causes an accident, a court can find your business responsible. To avoid such problems, employers should have a ""no texting while driving"" policy in place, and enforce it strictly.
Wage hour issues
It may seem harmless to text an employee a question after he or she has gone home for the day, but if that employee is nonexempt you may be opening yourself up for an FLSA lost wages claim. To be safe employers should either avoid frequently contacting employees outside of work hours or should make sure that employees record the time spent working outside of the office.
Lost productivity
A personal phone call, texting on and off, or even the occasional game of Candy Crush can add up to some serious loss of production, but is it realistic to ban cell phone use all together? While a policy that prohibits personal phone use can hurt moral, and lead to longer breaks, some employers have found that a policy detailing the acceptable limits of phone use can be successful in curbing overuse.
BYOD issues
Allowing employees to use their own devices (tablets, laptops, cell phones, etc) in the office, and to connect them to servers and networks, can cut down on technology costs and promotes a collaborative work environment. While there are many upsides to a BYOD policy, it can raise security issues and privacy issues. If you have decided to allow the use of personal devices it is key to implement a clear policy outlying what behavior is allowed/prohibited. Some things to cover in a BYOD policy include:
A requirement that passwords be used on all devices that contain company documents.
An explanation of what types of devices may be used.
A list of apps that aren't allowed: for example some apps may have weak security or others may allow an employee to conduct illegal downloads over your network.
A reminder that the company's acceptable use policy extends to personal devices, and that some sites are not appropriate for the workplace.
Employee monitoring
Staying current with the changing technology can be tricky, but one thing that remains the same is that it is in an employer's best interest to communicate to employees that any employer owned property (no matter what it is or how it is used) is subject to monitoring.  While most employers don't feel the need to conduct routine monitoring, it is advisable to obtain signed acknowledgments from employees that when it comes to using company devices they have no expectation to privacy.
For sample acknowledgment forms and monitoring policies, check your Model Policies and Forms guide.
As technology advances employers need to make sure their policies and procedures grow with it - having a policy that doesn't protect your company would be more embarrassing than having an original iPhone! 

Looking for more information your rights in the workplace? Click here to gain access."


"Employee handbooks - getting a handle on your policies ","
While there may be no state or federal law requiring an employer to have a handbook, there are a number or reasons why they are in an employer's best interest. 
Usefulness. It is beneficial for there to be one definitive source on the terms of employment. If an employee ever has a question as to what is acceptable or not, they know where to turn.
Communication. An employee handbook gives an employer the opportunity to speak clearly on important issues. Handbooks can be a podium for employers to speak out against issues like sexual harassment, workplace violence, bullying, or drug use.
Clarity. Employee handbooks create consistency and uniformity in an environment where many people may be involved in the management process. Uniformly enforcing policies cuts down on discrimination claims by ensuring that all employees are treated equally.
Protection. In the case of a trial, jurors have been found to favor companies that have clearly communicated and enforced company policies -- even if the employee didn't follow them. The fact that the employer has communicated their disapproval shows an act of good faith.
A job worth doing is worth doing well
A handbook isn't necessarily a get out of jail free card. Like any tool, if you don't use your handbook properly it can end up hurting you.
Keep your employee handbook up-to-date. If your polices are outdated, they may prove inaccurate and useless. Say you have a policy that only prohibits talking on a cell phone while driving, but doesn't mention texting. An employee has the right to assume that behavior is permissible, and you might be found at fault if an accident occurs.
Be sure to avoid promissory language. If your handbook discusses specific timelines, creates expectations of benefits, or doesn't clearly outline that employment is at-will, courts can find that it acts as a binding contract.
Don't make the handbook into an encyclopedia. Outlining how employees should file for unemployment benefits or workers' compensation claims can do more harm to your business than good. Avoid discussing any internal practices, and just stick to the rules and regulations your employees need to know about.

Where to start
While there are any number of policies an employer can chose to include in their handbook, there are a few that are must haves.
Introduction to the handbook/at-will employment statement
Disclaimer
Equal employment opportunity policy
Harassment policy
Family and medical leave policy
Conduct policy
Acknowledgment form
For downloadable and customizable examples of these policies, see your Model Policies and Forms guide. Happy handbooking! 
Need more policies and forms?  Our Model Employee Policies and Forms for Employers are packed with hundreds of customizable and downloadable policies and forms.  Simply click, save and print any form or policy or access them from the cloud whenever and wherever you need them."


"Job advertisement do's and don'ts","
Finding the right person for a job can be tricky. You have to go through resumes, interviews, offer letters, the process can go on and on. A thing most employers don't realize, is that they can be making costly mistakes from the first step: the job advertisement. A simple paragraph or two written by an employer can open a whole can of legal worms. Here are a few steps to take to make sure your job advertisement isn't really looking for trouble.
DO use a rock solid job description. 
A well-written job description can be a great tool in not only finding the best applicant, but also in defending any discrimination claims or disability issues.  A clear list of responsibilities that was set before an applicant applied will go a long way in proving there was no pretext for not choosing the candidate. Plus a thorough list will attract candidates who most closely fit your needs.
For job description templates, check out your Model Policies and Forms guide.
DO include an ""Equal Opportunity Employer"" Statement. 
A simple ""_________ is an Equal Opportunity Employer"" at the end of a job advertisement can make clear that your company means no unintended discrimination and can save you a lot of hassle down the road.
DON'T make any promises you don't intend to keep. 
Statements like ""pay increase after 6 months"" or ""weekly bonuses"" may be misleading as they don't mention anything about performance. If these aspects are important to finding the right person for the job, make sure to explain the requirements necessary in attaining them.
DON'T discriminate -- even accidentally. 
Any mention of age, race, sex, national origin, disability, or religion is a major job ad no-no. Often, employers make discriminatory statements without even realizing. Phrases like ""seeking recent college graduates"" or ""young and energetic"" can be examples of age discrimination. Similarly, attributes such as ""a clear speaking voice"" can exclude minorities or persons with disabilities. A better practice is to state job responsibilities, such as: ""will be responsible for office IT"" or ""Answer phones and help callers as necessary.""
DO use online-only applications wisely. 
If a position that doesn't require use of computers only accepts online applications, an employer opens themselves up for claims of disparate impact or discrimination as the ad would leave out lower income applicants. In these cases an employer could also run ads in other media (such as newspapers) or allow applicants to respond via telephone.
Make sure to check your ads for these few topics and get to the task at hand: hiring the (hopefully smartest, funniest, responsible, most qualified) new member of your team! 
Click here to order our brand new, all-in-one federal compliance poster for your break room.
Looking for more information on hiring? Click here to gain more access."


"Firing, a job to do right the first time","
""You're fired."" On The Apprentice, Donald Trump made it look so easy! For the rest of us, a poorly done termination could be costly. Emotions run high, there is a lot of paperwork involved, and an employer can end up with a big mess on their hands. Taking the time to do a termination properly can keep an employer out off court, so here are a few best practices to consider. 
Give the employee the chance to speak. In terminations, as in most things, people like to feel like they are being heard. Letting an employee let off steam or plead their case can be enough to avoid further issues. Take a few minutes to chat about the reasons behind the termination, but make sure to listen.
Get a reference release. Type up the basic facts of employment that would be given if a future prospective employer were to call looking for a reference down the line. Have the employee sign to avoid any future confusion or possible defamation accusations. 
Determine how the final paycheck will be given. Some states require final pay to be given within a certain amount of time, a few even require it be given immediately. Check this chart to see what your state requires. 
Explain how the employee can arrange to receive benefits, if any, including COBRA continuation coverage.  Provide proper documents when applicable. 
Consider having the employee sign a release form. Having an employee sign a brief explanation of the reasons behind the termination and explaining that they understand any non-compete agreements or waivers of rights can be extremely useful to employers in the case of litigation.
While firing is probably not your favorite HR task (at least I hope it isn't!), it is something that comes up now and again. Take the time to terminate correctly, otherwise you might have to fire someone twice...talk about awkward!
Looking for more information on termination practices? Click here to a deeper dive into hiring, firing and discipline for employers."

"Interview with Kathy Speaker MacNett","
We sat down with Kathy Speaker MacNett, author of Model Policies and Forms for Pennsylvania Employers and attorney at Skarlatos Zonarich!
1. Tell us about Skarlatos Zonarich:
SkarlatosZonarich LLC is a law firm, which offers clients a wide array of services in the civil arena, including will preparation, estate administration and planning, elder law, labor/employment law (management side), civil litigation, real estate, personal injury and corporate and business services, including exit planning and sales and purchases of businesses. 
2. Who works on Model Policies and Forms for Pennsylvania Employers?
After  I review policies with assistance from other partners and associates at our firm, my paralegal/assistant, Beth Warner, provides the heavy lifting that allows us to publish the ""book."" Additionally, we are so happy that Ed Wodarczyk, lends his expertise to writing the benefit portion of the book. 
3. How do you think Model Policies and Forms for Pennsylvania Employers benefits readers?
Only last weekend, several folks volunteered how helpful the book was to them because it compiled so many policies, procedures and forms in one easily accessible place.  I didn't even solicit the comments!  Additionally, it is nice to be able to consult the ""book"" to obtain the most recent forms from one centralized source.  Inclusion of cutting edge policies and  understandable commentary also assists employers, especially those without their own HR Departments.
4. What do you think is the biggest issue employers face currently in employment law?
 Keeping up with the changes!  Not only to employers have to understand the basics of complicated laws like the Affordable Care Act and wage and hour laws, but they also have to keep track of which forms are expiring in any given year.  For small and medium sized businesses this is a particularly difficult task.
5. Finally, to get to know you better, we want to know: What do you like on your pizza?
My first preference is green peppers, mushrooms and sausage.  I don't understand how folks can eat Hawaiian pizza with ham and pineapple!
Click here to gain access to the authors Pennsylvania specific HR Library."


"Workplace posting requirements ","
While posting requirements are extremely important in communicating employee rights, they are often a trouble spot for employers. With laws changing regularly, it's difficult to ensure that posters are up-to-date and an employer can easily fall behind. Here is a quick checklist to help make sure your employment posters are the poster-child of perfection!
? I have all the proper federal posters. Here is a list of the seven current, required federal posters with a link to where they can be downloaded:
Fair Labor Standards Act (FLSA)
Family and Medical Leave Act (FMLA)
Job Safety & Health Protection (OSHA)
Employee Polygraph Protection Act (EPPA)
Uniformed Services Employment and Reemployment Rights Act (USERRA)
Employee Rights for Workers with Disabilities
Equal Employment Opportunity (EEOC)

Additionally, posters can be purchased for $15 by calling HRSimple at (855) 477-4675.
? I post all required state posters. All states have at least a required minimum wage poster of their own and most have posters concerning leave and child labor. Check your Model Policies and Forms Guide's Posting Requirements appendix for a complete list and samples.
? I have checked to see if my industry has required posters. Some industries, such as construction or agriculture, have specific required posters. Employers should check with their State's Department of Labor for more information.
? My posters are up-to-date. Having an out-of-date poster doesn't do you much good and can result in fines, so check regularly to make sure your posters are current. Posters have an effective date in the lower right corner. Here are the current effective dates:
Fair Labor Standards Act (FLSA): July 2009
Family and Medical Leave Act (FMLA): February 2013
Job Safety & Health Protection (OSHA): No date, but the most current one has a QR code in the corner (a small black and white symbol)
Employee Polygraph Protection Act (EPPA): June 2003
Uniformed Services Employment and Reemployment Rights Act (USERRA): October 2008
Employee Rights for Workers with Disabilities: June 2007
Equal Employment Opportunity (EEOC): November 2009

?  I display my posters in a ""conspicuous"" place. This is trickier than most employers realize. All posters most be readily visible to employees, but the EEOC, FMLA, and EPPA poster must be visible to applicants as well (as they are the target audience), so make sure to post those accordingly!
? I post in the proper language. Several of the posters are available in other languages. While requirements on which languages need to be covered aren't exactly set in stone, employers should make their best effort to display posters that the majority of their employees can understand.
Employee posting requirements give loads of employers trouble, but they don't have to - just go through this checklist regularly to avoid making costly poster mistakes! 
Looking for more federal posters? Click here to order now."

